t_host_s,baro.temp_C,pm.batteryLevel_pct,pm.chargeCurrent_mA,pm.state,pm.vbat_V
53.175,35.171,20.000,0.746,1,3.801
53.375,35.176,20.000,0.764,1,3.806
53.575,35.193,20.000,0.762,1,3.801
53.775,35.200,20.000,0.783,1,3.806
53.974,35.193,20.000,0.764,1,3.806
54.174,35.196,20.000,0.690,1,3.801
54.374,35.216,20.000,0.773,1,3.806
54.574,35.233,20.000,0.702,1,3.806
54.774,35.236,20.000,0.743,1,3.806
54.974,35.246,20.000,0.792,1,3.806
55.174,35.252,20.000,0.752,1,3.806
55.374,35.262,20.000,0.743,1,3.806
55.574,35.280,20.000,0.791,1,3.806
55.773,35.304,20.000,0.757,1,3.806
55.974,35.320,20.000,0.767,1,3.811
56.174,35.339,20.000,0.784,1,3.806
56.373,35.348,20.000,0.760,1,3.806
56.572,35.363,20.000,0.777,1,3.811
56.774,35.380,20.000,0.785,1,3.806
56.973,35.387,20.000,0.788,1,3.811
57.172,35.377,20.000,0.753,1,3.806
57.372,35.382,20.000,0.766,1,3.806
57.572,35.396,20.000,0.731,1,3.811
57.772,35.407,20.000,0.732,1,3.806
57.972,35.425,20.000,0.757,1,3.811
58.171,35.429,20.000,0.764,1,3.811
58.372,35.425,20.000,0.749,1,3.811
58.571,35.445,20.000,0.776,1,3.811
58.771,35.469,20.000,0.745,1,3.811
58.971,35.480,20.000,0.770,1,3.811
59.172,35.486,20.000,0.787,1,3.811
59.370,35.503,20.000,0.735,1,3.811
59.570,35.516,20.000,0.764,1,3.816
59.770,35.530,20.000,0.759,1,3.811
59.970,35.546,20.000,0.739,1,3.816
60.170,35.559,20.000,0.777,1,3.811
60.371,35.574,20.000,0.743,1,3.811
60.570,35.582,20.000,0.746,1,3.816
60.770,35.585,20.000,0.771,1,3.816
60.970,35.587,20.000,0.781,1,3.811
61.171,35.593,20.000,0.722,1,3.816
61.369,35.608,20.000,0.784,1,3.816
61.570,35.627,20.000,0.732,1,3.816
61.769,35.638,20.000,0.731,1,3.816
61.969,35.653,20.000,0.774,1,3.816
62.169,35.664,20.000,0.783,1,3.816
62.368,35.673,20.000,0.770,1,3.816
62.569,35.685,20.000,0.760,1,3.816
62.769,35.696,20.000,0.753,1,3.811
62.969,35.710,20.000,0.729,1,3.816
63.169,35.723,20.000,0.764,1,3.816
63.369,35.735,20.000,0.686,1,3.816
63.568,35.740,20.000,0.747,1,3.816
63.768,35.752,20.000,0.745,1,3.816
63.968,35.757,20.000,0.790,1,3.816
64.168,35.758,20.000,0.733,1,3.816
64.368,35.759,20.000,0.745,1,3.816
64.568,35.768,20.000,0.801,1,3.816
64.768,35.766,20.000,0.731,1,3.816
64.968,35.770,20.000,0.771,1,3.816
65.168,35.791,20.000,0.731,1,3.816
65.367,35.809,20.000,0.749,1,3.816
65.567,35.823,20.000,0.763,1,3.816
65.766,35.837,20.000,0.742,1,3.816
65.967,35.847,20.000,0.739,1,3.822
66.167,35.862,20.000,0.724,1,3.816
66.366,35.875,20.000,0.791,1,3.816
66.566,35.883,20.000,0.774,1,3.816
66.767,35.886,20.000,0.762,1,3.822
66.967,35.894,20.000,0.783,1,3.822
67.166,35.904,20.000,0.742,1,3.822
67.367,35.906,20.000,0.777,1,3.822
67.567,35.919,20.000,0.750,1,3.822
67.766,35.936,20.000,0.729,1,3.822
67.965,35.947,20.000,0.740,1,3.822
68.166,35.957,20.000,0.763,1,3.822
68.366,35.965,20.000,0.750,1,3.822
68.565,35.976,20.000,0.787,1,3.822
68.765,35.981,20.000,0.811,1,3.822
68.965,35.997,20.000,0.763,1,3.822
69.165,35.999,20.000,0.753,1,3.822
69.364,36.006,20.000,0.783,1,3.822
69.565,36.014,20.000,0.777,1,3.822
69.764,36.028,20.000,0.773,1,3.822
69.964,36.048,20.000,0.795,1,3.822
70.164,36.058,20.000,0.784,1,3.822
70.364,36.073,20.000,0.767,1,3.822
70.564,36.075,20.000,0.801,1,3.822
70.764,36.080,20.000,0.746,1,3.822
70.963,36.101,20.000,0.762,1,3.822
71.163,36.113,20.000,0.795,1,3.822
71.363,36.119,20.000,0.749,1,3.822
71.563,36.127,20.000,0.781,1,3.822
71.763,36.124,20.000,0.749,1,3.822
71.962,36.131,20.000,0.784,1,3.822
72.162,36.141,20.000,0.780,1,3.827
72.363,36.155,20.000,0.811,1,3.827
72.562,36.159,20.000,0.780,1,3.822
72.762,36.164,20.000,0.780,1,3.827
72.962,36.164,20.000,0.753,1,3.822
73.162,36.174,20.000,0.753,1,3.827
73.362,36.192,20.000,0.777,1,3.827
73.562,36.205,20.000,0.794,1,3.822
73.761,36.216,20.000,0.783,1,3.827
73.962,36.228,20.000,0.762,1,3.827
74.161,36.240,20.000,0.790,1,3.827
74.362,36.251,20.000,0.754,1,3.822
